z,Q,w_eff
3.955436e+02,1.505140e+03,-1.944944e+00
4.085286e+02,1.445861e+03,-1.946024e+00
4.219398e+02,1.388866e+03,-1.947126e+00
4.357913e+02,1.334070e+03,-1.948251e+00
4.500975e+02,1.281389e+03,-1.949400e+00
4.648734e+02,1.230744e+03,-1.950574e+00
4.801343e+02,1.182057e+03,-1.951772e+00
4.958962e+02,1.135254e+03,-1.952997e+00
5.121755e+02,1.090263e+03,-1.954248e+00
5.289893e+02,1.047016e+03,-1.955526e+00
5.463550e+02,1.005445e+03,-1.956832e+00
5.642908e+02,9.654862e+02,-1.958167e+00
5.828155e+02,9.270784e+02,-1.959531e+00
6.019482e+02,8.901619e+02,-1.960924e+00
6.217090e+02,8.546795e+02,-1.962347e+00
6.421186e+02,8.205762e+02,-1.963800e+00
6.631981e+02,7.877989e+02,-1.965284e+00
6.849697e+02,7.562965e+02,-1.966799e+00
7.074559e+02,7.260203e+02,-1.968346e+00
7.306804e+02,6.969228e+02,-1.969924e+00
7.546673e+02,6.689586e+02,-1.971535e+00
7.794416e+02,6.420843e+02,-1.973178e+00
8.050292e+02,6.162575e+02,-1.974853e+00
8.314568e+02,5.914381e+02,-1.976561e+00
8.587519e+02,5.675872e+02,-1.978302e+00
8.869432e+02,5.446674e+02,-1.980076e+00
9.160598e+02,5.226427e+02,-1.981883e+00
9.461324e+02,5.014788e+02,-1.983723e+00
9.771921e+02,4.811423e+02,-1.985597e+00
1.009272e+03,4.616013e+02,-1.987503e+00
1.042404e+03,4.428251e+02,-1.989442e+00
1.076624e+03,4.247843e+02,-1.991414e+00
1.111968e+03,4.074504e+02,-1.993418e+00
1.148472e+03,3.907962e+02,-1.995455e+00
1.186174e+03,3.747955e+02,-1.997524e+00
1.225114e+03,3.594231e+02,-1.999625e+00
1.265332e+03,3.446547e+02,-2.001757e+00
1.306870e+03,3.304671e+02,-2.003920e+00
1.349772e+03,3.168379e+02,-2.006114e+00
1.394083e+03,3.037456e+02,-2.008338e+00
1.439848e+03,2.911696e+02,-2.010592e+00
1.487115e+03,2.790899e+02,-2.012874e+00
1.535935e+03,2.674874e+02,-2.015185e+00
1.586357e+03,2.563438e+02,-2.017523e+00
1.638434e+03,2.456414e+02,-2.019889e+00
1.692220e+03,2.353633e+02,-2.022280e+00
1.747773e+03,2.254931e+02,-2.024697e+00
1.805149e+03,2.160151e+02,-2.027138e+00
1.864409e+03,2.069144e+02,-2.029603e+00
1.925614e+03,1.981763e+02,-2.032090e+00
1.988828e+03,1.897870e+02,-2.034599e+00
2.054117e+03,1.817330e+02,-2.037128e+00
2.121550e+03,1.740016e+02,-2.039677e+00
2.191197e+03,1.665802e+02,-2.042244e+00
2.263130e+03,1.594570e+02,-2.044829e+00
2.337424e+03,1.526206e+02,-2.047429e+00
2.414157e+03,1.460598e+02,-2.050044e+00
2.493409e+03,1.397642e+02,-2.052673e+00
2.575263e+03,1.337235e+02,-2.055314e+00
2.659804e+03,1.279279e+02,-2.057966e+00
2.747121e+03,1.223681e+02,-2.060627e+00
2.837304e+03,1.170349e+02,-2.063297e+00
