z,E,H,Omega_m,Omega_Lambda,Omega_r
5.051342e+00,8.229758e+00,5.681002e+02,9.815272e-01,1.669091e-02,1.781867e-03
5.217169e+00,8.565429e+00,5.912716e+02,9.826547e-01,1.551253e-02,1.832799e-03
5.388438e+00,8.917032e+00,6.155427e+02,9.837048e-01,1.440993e-02,1.885301e-03
5.565331e+00,9.285336e+00,6.409667e+02,9.846816e-01,1.337893e-02,1.939428e-03
5.748030e+00,9.671151e+00,6.675996e+02,9.855893e-01,1.241549e-02,1.995236e-03
5.936727e+00,1.007533e+01,6.954997e+02,9.864315e-01,1.151576e-02,2.052782e-03
6.131619e+00,1.049875e+01,7.247288e+02,9.872118e-01,1.067604e-02,2.112126e-03
6.332908e+00,1.094236e+01,7.553512e+02,9.879339e-01,9.892793e-03,2.173329e-03
6.540806e+00,1.140714e+01,7.874349e+02,9.886009e-01,9.162631e-03,2.236454e-03
6.755528e+00,1.189411e+01,8.210507e+02,9.892161e-01,8.482337e-03,2.301568e-03
6.977300e+00,1.240437e+01,8.562735e+02,9.897824e-01,7.848849e-03,2.368737e-03
7.206351e+00,1.293903e+01,8.931814e+02,9.903027e-01,7.259252e-03,2.438032e-03
7.442922e+00,1.349930e+01,9.318567e+02,9.907797e-01,6.710783e-03,2.509523e-03
7.687260e+00,1.408642e+01,9.723857e+02,9.912159e-01,6.200824e-03,2.583285e-03
7.939618e+00,1.470171e+01,1.014859e+03,9.916137e-01,5.726896e-03,2.659394e-03
8.200261e+00,1.534654e+01,1.059371e+03,9.919754e-01,5.286658e-03,2.737930e-03
8.469460e+00,1.602235e+01,1.106023e+03,9.923031e-01,4.877897e-03,2.818972e-03
8.747496e+00,1.673067e+01,1.154918e+03,9.925989e-01,4.498529e-03,2.902606e-03
9.034660e+00,1.747309e+01,1.206167e+03,9.928645e-01,4.146590e-03,2.988917e-03
9.331251e+00,1.825127e+01,1.259885e+03,9.931018e-01,3.820231e-03,3.077995e-03
9.637579e+00,1.906698e+01,1.316194e+03,9.933124e-01,3.517717e-03,3.169931e-03
9.953962e+00,1.992205e+01,1.375219e+03,9.934978e-01,3.237415e-03,3.264821e-03
1.028073e+01,2.081842e+01,1.437096e+03,9.936594e-01,2.977796e-03,3.362762e-03
1.061823e+01,2.175812e+01,1.501963e+03,9.937987e-01,2.737426e-03,3.463854e-03
