n,beta,viable,z_t,Qtilde_max_z0_5
0.425,0.046415888336127725,False,2.177159148375062,0.34300445949875946
0.425,0.1,True,1.8377582264586403,1.858262568255632
0.45,1e-06,False,3.1588559276039345,-0.15364879635645315
0.45,2.1544346900318822e-06,False,3.1588214995008865,-0.1536486780577797
0.45,4.641588833612782e-06,False,3.1587473304313165,-0.1536484231919419
0.45,9.999999999999999e-06,False,3.158587556717092,-0.15364787410444758
0.45,2.1544346900318823e-05,False,3.1582434214616986,-0.15364669115129706
0.45,4.641588833612772e-05,False,3.1575024070039928,-0.1536441426487979
0.45,0.0001,False,3.1559078047864553,-0.15363865249733022
0.45,0.00021544346900318823,False,3.1524809644375966,-0.15362682632341157
0.45,0.00046415888336127773,False,3.145137793857288,-0.15360135687806814
0.45,0.001,False,3.129792270821744,-0.1535465276288644
0.45,0.002154434690031882,False,3.0975609567592595,-0.15342860082869128
0.45,0.004641588833612777,False,3.0322850148374263,-0.1531754561673581
0.45,0.01,False,2.9080546149549837,-0.1526343090055701
0.45,0.021544346900318822,False,2.6946538420896706,-0.15148773353585085
0.45,0.046415888336127725,False,2.3780750198420777,-0.14910347674638555
0.45,0.1,True,1.9849468496190505,1.6399561582438307
